房名信息,地点,房屋情况,房源情况,所在地区,关注/发布时间,价格（万）,单价
力高花园大4房，大门前面是天虹，看房有钥匙,力高君御国际 , | 4室2厅 | 88.72平米 | 南 | 毛坯,中楼层(共35层)2016年建板塔结合  -  ,坪山,29人关注 / 9个月以前发布,345,单价38887元/平米
龙华华盛观荟精装3房，采光好，户型方正,华盛观荟 , | 3室1厅 | 55.93平米 | 南 | 精装,中楼层(共36层)2016年建板塔结合  -  ,观澜,43人关注 / 7个月以前发布,190,单价33972元/平米
麒麟花园A区 3室2厅 998万,麒麟花园A区 , | 3室2厅 | 103.78平米 | 东南 | 精装,低楼层(共9层)2002年建板塔结合  -  ,南头,6人关注 / 1个月以前发布,998,单价96165元/平米
远眺中山公园  满两年 奢华四房,豪方天际花园 , | 4室2厅 | 87.04平米 | 南 | 精装,低楼层(共49层)2017年建板塔结合  -  ,南头,2人关注 / 28天以前发布,837,单价96163元/平米
龙岗丽湾酒店返租式公寓 即买即收租,丽湾酒店 , | 1室0厅 | 46.43平米 | 东南 | 精装,高楼层(共13层)2005年建板塔结合  -  ,龙岗双龙,41人关注 / 8个月以前发布,83,单价17877元/平米
帝景园二期小高层 南北通四房 红本在手 满五年,帝景园 , | 4室2厅 | 133.19平米 | 南 | 简装,中楼层(共8层)2000年建板塔结合  -  ,科技园,5人关注 / 1个月以前发布,1000,单价75081元/平米
正规一房一厅   总价低距离 体育公园比较近,韵动家园 , | 1室1厅 | 41.02平米 | 西 | 精装,低楼层(共29层)2005年建板塔结合  -  ,新洲,15人关注 / 12天以前发布,268,单价65334元/平米
本房是楼梯房，满五年唯一，自住精装修，通透采光超棒,玉丰楼 , | 2室1厅 | 46.32平米 | 东 西 | 精装,高楼层(共9层)1994年建板塔结合  -  ,华强南,16人关注 / 8天以前发布,260,单价56132元/平米
楼层高，红本在手，满五年，业主自己住,园中花园 , | 3室2厅 | 104.26平米 | 北 | 精装,高楼层(共31层)1996年建塔楼  -  ,园岭,13人关注 / 2个月以前发布,760,单价72895元/平米
朝花园视野采光无遮挡户型方正客厅出阳台宜居家,缤纷时代家园 , | 2室1厅 | 57.43平米 | 南 | 精装,中楼层(共33层)2004年建板塔结合  -  ,螺岭,12人关注 / 2个月以前发布,420,单价73133元/平米
39+7户型，大厨房，业主诚心卖。,城市主场 , | 1室0厅 | 39.68平米 | 东北 | 精装,中楼层(共33层)2005年建板塔结合  -  ,八卦岭,7人关注 / 12天以前发布,255,单价64265元/平米
百花公寓二期东南朝向四房 红本在手满五年 看房方便,百花公寓二期 , | 4室2厅 | 145.69平米 | 西北 | 简装,低楼层(共28层)1999年建塔楼  -  ,百花,2人关注 / 23天以前发布,1550,单价106391元/平米
满五唯一 朝南户型采光充附带平台  交通便双地铁口,隆盛花园 , | 3室2厅 | 92平米 | 南 | 精装,低楼层(共9层)2002年建板塔结合  -  ,横岗,9人关注 / 25天以前发布,309,单价33587元/平米
中间楼层标准两房，视野开阔，西乡地铁A口,富通蟠龙居 , | 2室1厅 | 67.83平米 | 南 | 简装,中楼层(共7层)2002年建塔楼  -  ,西乡,105人关注 / 3个月以前发布,373,单价54991元/平米
链家主推 必卖好房 户型方正 采光好 看房提前约,金城华庭 , | 1室1厅 | 38.52平米 | 东 | 精装,低楼层(共24层)2003年建塔楼  -  ,螺岭,9人关注 / 2个月以前发布,270,单价70094元/平米
正规三房，满五唯一，中间楼层，使用面积大，刚需优选,大益广场 , | 3室1厅 | 87.75平米 | 东南 | 精装,高楼层(共9层)2002年建板塔结合  -  ,西乡,89人关注 / 3个月以前发布,405,单价46154元/平米
业主诚售，看房方便，全新装修，户型采光好,中旅国际公馆2期 , | 5室2厅 | 162.43平米 | 南 | 精装,低楼层(共24层)2006年建板塔结合  -  ,香蜜湖,40人关注 / 2个月以前发布,2590,单价159454元/平米
[店长推荐]本房户型方正朝南，低于近半年市场成交价格,城市山林 , | 2室3厅 | 69.86平米 | 南 | 精装,高楼层(共19层)2007年建板塔结合  -  ,南山中心,78人关注 / 8个月以前发布,638,单价91326元/平米
信义锦绣花园  正规两房 户型方正,信义锦绣花园 , | 2室1厅 | 67.7平米 | 西南 | 精装,高楼层(共11层)2008年建板塔结合  -  ,横岗,29人关注 / 4个月以前发布,292,单价43132元/平米
祥祺滨河名苑 4室2厅 290万,祥祺滨河名苑 , | 4室2厅 | 89平米 | 南 | 精装,高楼层(共31层)2015年建板塔结合  -  ,坪山,5人关注 / 13天以前发布,290,单价32585元/平米
前海入场券，名城花园三房，业主诚心出售,名城花园 , | 3室2厅 | 88.2平米 | 东南 | 简装,中楼层(共7层)1993年建板塔结合  -  ,西乡,44人关注 / 24天以前发布,338,单价38322元/平米
满五唯一，南朝向，精装修。。。。。,晨晖家园 , | 1室1厅 | 34.2平米 | 南 | 精装,低楼层(共18层)2004年建板塔结合  -  ,皇岗,92人关注 / 1个月以前发布,190,单价55556元/平米
大城小院、正规两房、朝南看花园，户型通透,桃源居十四区 , | 2室1厅 | 81.51平米 | 东南 | 简装,高楼层(共7层)1999年建塔楼  -  ,桃源居,38人关注 / 2个月以前发布,350,单价42940元/平米
小区主推房源：东门核芯地段，近地铁，出行方便,东门金座 , | 1室0厅 | 28.35平米 | 东 | 简装,高楼层(共22层)2004年建塔楼  -  ,东门,10人关注 / 9个月以前发布,156,单价55027元/平米
风和日丽，精装两房，朝南，业主诚心出售,风和日丽 , | 2室1厅 | 70.43平米 | 南 | 精装,中楼层(共8层)2000年建塔楼  -  ,龙华新区,23人关注 / 1个月以前发布,328,单价46572元/平米
东南向2+1房诚心放卖  业主小孩今年已经初中毕业,百花公寓一期 , | 2室1厅 | 88.11平米 | 东南 | 精装,低楼层(共32层)1995年建塔楼  -  ,百花,9人关注 / 1个月以前发布,1040,单价118035元/平米
马峦山下物业，心海城大三房采光通风好是您理想家园！,心海城 , | 3室2厅 | 94.04平米 | 东 | 毛坯,中楼层(共32层)塔楼  -  ,坪山,0人关注 / 15天以前发布,330,单价35092元/平米
总价低，税费少，开发商精装样板房业主诚心出售,深业御园 , | 3室2厅 | 75.15平米 | 南 | 精装,低楼层(共33层)2012年建板塔结合  -  ,坪山,98人关注 / 2个月以前发布,210,单价27945元/平米
前海自贸区精装小三房 户型方正 交通便利,港湾丽都 , | 3室2厅 | 84.13平米 | 南 | 简装,低楼层(共16层)2003年建板塔结合  -  ,前海,54人关注 / 一年前发布,668,单价79401元/平米
地铁口精装两房 业主诚意出售 住家温馨舒适,祥云天都世纪大厦 , | 2室1厅 | 85.26平米 | 南 | 简装,中楼层(共32层)2007年建板塔结合  -  ,新洲,84人关注 / 一年前发布,450,单价52780元/平米
华润一期，东南向三房，安静看花园，笋盘,华润城润府一期 , | 3室2厅 | 88.46平米 | 东南 | 精装,低楼层(共39层)2016年建塔楼  -  ,科技园,82人关注 / 一年前发布,1120,单价126611元/平米
新洲低总价2房，13年新小区，东向采光好，住家氛围好,嘉葆润金座 , | 2室1厅 | 47.59平米 | 东 | 精装,中楼层(共32层)2012年建板塔结合  -  ,新洲,170人关注 / 一年前发布,365,单价76697元/平米
振业城上观四房两卫，朝南，安静。,振业城上观 , | 4室2厅 | 188.52平米 | 南 | 简装,中楼层(共24层)2013年建板楼  -  ,横岗,8人关注 / 一年前发布,675,单价35806元/平米
金地大社区，车位充足，红本在手，满五唯一，税费少,金海湾花园 , | 3室2厅 | 128.58平米 | 西南 | 精装,低楼层(共25层)2001年建板塔结合  -  ,上下沙,40人关注 / 一年前发布,848,单价65952元/平米
益田村看花园大三房 安静 户型方正 大客厅 诚心出售,益田村 , | 3室2厅 | 103.61平米 | 北 | 简装,高楼层(共32层)2002年建板塔结合  -  ,石厦,39人关注 / 8个月以前发布,670,单价64666元/平米
上梅林繁华地段，交通四通八达，普通成熟。,海康大厦 , | 1室1厅 | 25.53平米 | 东南 | 简装,中楼层(共31层)2003年建板塔结合  -  ,梅林,23人关注 / 6个月以前发布,155,单价60713元/平米
满五唯一 税费少 户型方正 采光好 住家装修,天源花园 , | 3室1厅 | 79.7平米 | 东南 | 精装,低楼层(共8层)1994年建板塔结合  -  ,新安,61人关注 / 5个月以前发布,370,单价46425元/平米
福田祥云天都世纪 地铁口物业 满五年税费少高层景观好,祥云天都世纪大厦 , | 2室2厅 | 76平米 | 西南 | 简装,高楼层(共32层)2007年建板塔结合  -  ,新洲,25人关注 / 15天以前发布,435,单价57237元/平米
桃源居六区 户型实用三房 可变3+1房,桃源居六区 , | 3室2厅 | 84.22平米 | 西南 | 精装,中楼层(共18层)2012年建板塔结合  -  ,桃源居,73人关注 / 一年前发布,440,单价52245元/平米
可园五期 精装大三房 主卧空中花园已改 俯瞰整个园景,佳兆业可园五期 , | 3室2厅 | 103.88平米 | 北 | 精装,中楼层(共23层)2007年建板楼  -  ,布吉关,15人关注 / 15天以前发布,505,单价48614元/平米
勤诚达一手业主，精装修拎包入住，满五年且唯一省个税,勤诚达22世纪一期 , | 3室2厅 | 80.81平米 | 西北 | 精装,低楼层(共26层)2013年建塔楼  -  ,新安,139人关注 / 一年前发布,698,单价86376元/平米
国贸商圈--国际名园一房一厅，业主诚心出售！,国际名园 , | 1室1厅 | 43平米 | 西南 | 精装,低楼层(共31层)2004年建板塔结合  -  ,春风路,29人关注 / 1个月以前发布,187,单价43489元/平米
精装修、大一房，安静，税费少、近地铁,深业岭秀名苑 , | 1室1厅 | 51.25平米 | 南 | 精装,低楼层(共33层)2004年建板塔结合  -  ,莲花,30人关注 / 3个月以前发布,368,单价71805元/平米
大新地铁口方正两房 业主诚心出售,金桃园大厦 , | 2室1厅 | 82.35平米 | 东南 | 简装,中楼层(共20层)2004年建板塔结合  -  ,南头,46人关注 / 4个月以前发布,469,单价56953元/平米
海怡东方花园 大三房 南北通透 精装修 主卧出大阳台,海怡东方花园 , | 3室2厅 | 115.97平米 | 南 北 | 精装,高楼层(共25层)2004年建塔楼  -  ,科技园,25人关注 / 一年前发布,1420,单价122446元/平米
满五V一 标准两房 客厅出阳台 高楼层 采光通风好,四达大厦 , | 2室1厅 | 72.08平米 | 西南 | 简装,高楼层(共20层)2002年建板塔结合  -  ,南山中心,19人关注 / 29天以前发布,460,单价63818元/平米
总监推荐莲塘金色改两房，满两年，看梧桐山，适合居家,金色年华家园 , | 2室1厅 | 37.8平米 | 东 | 简装,低楼层(共25层)2005年建板塔结合  -  ,莲塘,21人关注 / 一年前发布,235,单价62170元/平米
梧桐半山住宅！入-清幽，出-繁华!居家好选择！,万科东方尊峪 , | 4室2厅 | 181.2平米 | 南 北 | 精装,中楼层(共24层)2008年建板塔结合  -  ,莲塘,15人关注 / 一年前发布,1050,单价57948元/平米
地段繁华70年产权精装修，满五唯一税费低，价格面谈。,鸿基大厦 , | 2室1厅 | 73.32平米 | 西北 | 精装,中楼层(共31层)2000年建板塔结合  -  ,东门,19人关注 / 31天以前发布,330,单价45009元/平米
畔山之所 独享清风 满五唯一 南北通透 刚需两房,雍翠华府 , | 2室1厅 | 51.47平米 | 南 北 | 精装,中楼层(共35层)2004年建板塔结合  -  ,布心,29人关注 / 1个月以前发布,283,单价54984元/平米
南向高层户型方正两房 采光佳 满五年 业主诚意出售,天越翔园 , | 2室1厅 | 63.76平米 | 南 | 精装,中楼层(共20层)2007年建板塔结合  -  ,莲塘,4人关注 / 15天以前发布,365,单价57246元/平米
万象城繁华地段居住社区，南向视野开阔，装修好，书城,嘉宾花园 , | 3室1厅 | 95平米 | 西南 | 精装,高楼层(共25层)1992年建板塔结合  -  ,万象城,39人关注 / 8个月以前发布,403,单价42422元/平米
松坪村东区两房一厅满五唯一，税费少。,松坪村东区三期 , | 2室1厅 | 60.45平米 | 西北 | 精装,中楼层(共34层)2012年建塔楼  -  ,科技园,50人关注 / 1个月以前发布,420,单价69479元/平米
居家三房，电梯小高层居家必备。,绿景新苑 , | 3室2厅 | 110.93平米 | 东南 南 | 简装,低楼层(共11层)2002年建板楼  -  ,新洲,11人关注 / 1个月以前发布,645,单价58145元/平米
香诗美林南向大两房，安静看花园,香诗美林 , | 2室2厅 | 80.23平米 | 南 | 精装,低楼层(共18层)2005年建板塔结合  -  ,竹子林,19人关注 / 4个月以前发布,630,单价78525元/平米
深业东岭 花园式小区 交通便利 看房方便,深业东岭 , | 2室1厅 | 70.33平米 | 北 | 毛坯,低楼层(共39层)2018年建塔楼  -  ,黄贝岭,8人关注 / 18天以前发布,445,单价63274元/平米
桃源村地铁口 满五年 看花园 精装修 实用三房,桃源村一期 , | 3室1厅 | 70.91平米 | 北 | 简装,高楼层(共7层)1997年建板楼  -  ,西丽,198人关注 / 5个月以前发布,390,单价55000元/平米
海月花园一期 2室1厅 666万,海月花园一期 , | 2室1厅 | 72.23平米 | 南 | 简装,高楼层(共6层)1999年建板塔结合  -  ,蛇口,28人关注 / 1个月以前发布,666,单价92206元/平米
福田保税区丽港湾高层朝南方正实用大三房,丽港湾 , | 3室2厅 | 101.99平米 | 南 | 精装,高楼层(共30层)2003年建塔楼  -  ,福田保税区,6人关注 / 17天以前发布,800,单价78440元/平米
香瑞园，三房安静住家看花园景观看房有钥匙,佳兆业香瑞园 , | 3室2厅 | 89.45平米 | 东北 | 简装,低楼层(共12层)2008年建板楼  -  ,西丽,6人关注 / 11天以前发布,695,单价77698元/平米
城市花园全新精装新大3房 双龙抱珠户型,城市花园 , | 3室2厅 | 91.82平米 | 南 | 精装,高楼层(共8层)1998年建板塔结合  -  ,龙岗中心城,28人关注 / 2个月以前发布,309,单价33653元/平米
英郡年华  三房两卫  南向   满二税费低 大三房,英郡年华 , | 3室1厅 | 93.48平米 | 西南 | 简装,低楼层(共29层)2008年建塔楼  -  ,丹竹头,23人关注 / 一年前发布,369,单价39474元/平米
龙珠花园 南向两房 红本满五唯一 税费少 户型方正可看,龙珠花园 , | 2室1厅 | 60.4平米 | 东南 | 精装,高楼层(共30层)1996年建板塔结合  -  ,布吉关,22人关注 / 4个月以前发布,250,单价41391元/平米
大运新城 宝荷振业峦山谷2房 满五唯一免个税 拎包入住,振业峦山谷 , | 2室1厅 | 64.16平米 | 东南 | 精装,低楼层(共33层)2010年建塔楼  -  ,龙岗宝荷,86人关注 / 1个月以前发布,215,单价33510元/平米
科技园腾讯+满五唯一+总价低+安静+使用率高,缘来居 , | 1室1厅 | 41.58平米 | 北 | 精装,中楼层(共15层)2007年建板塔结合  -  ,科技园,16人关注 / 1个月以前发布,310,单价74556元/平米
世金汉宫，正规朝南两房，无遮挡，住宅,世界金融中心 , | 2室1厅 | 47平米 | 南 | 精装,中楼层(共23层)2004年建板塔结合  -  ,万象城,143人关注 / 1个月以前发布,265,单价56383元/平米
满五唯一 红本在手 税费少 区政府配套  万象天成,万象天成 , | 3室1厅 | 87.36平米 | 东南 | 精装,中楼层(共28层)2010年建板塔结合  -  ,龙岗中心城,20人关注 / 1个月以前发布,288,单价32968元/平米
地铁口二房，朝花园，安静。满5唯一,龙珠花园 , | 2室1厅 | 58.47平米 | 东 | 简装,中楼层(共30层)1996年建板塔结合  -  ,布吉关,10人关注 / 28天以前发布,226,单价38653元/平米
满五唯一税费少，朝南小两房好选择,韵动家园 , | 2室1厅 | 47.51平米 | 南 | 精装,低楼层(共29层)2005年建塔楼  -  ,新洲,108人关注 / 3个月以前发布,279,单价58725元/平米
龙岗紫薇花园 中楼层2改3房 户型通透 采光好 安静,紫薇花园 , | 2室1厅 | 72.9平米 | 南 | 精装,中楼层(共7层)1996年建板楼  -  ,龙岗中心城,42人关注 / 1个月以前发布,280,单价38409元/平米
精装两房，户型方正，使用率高，总价低，税费少,弘雅花园第二期 , | 2室2厅 | 69.18平米 | 东南 | 精装,高楼层(共6层)1996年建板塔结合  -  ,新安,95人关注 / 1个月以前发布,360,单价52039元/平米
可园正规大两房带阳台，楼层好，看花园,佳兆业可园四期 , | 2室1厅 | 69.03平米 | 北 | 简装,中楼层(共18层)2006年建板楼  -  ,布吉关,57人关注 / 8个月以前发布,330,单价47806元/平米
中山公园物业 低密度 人车分流 大三房,方鼎华庭 , | 3室2厅 | 93.47平米 | 东 西 | 精装,中楼层(共11层)2009年建板塔结合  -  ,南头,191人关注 / 2个月以前发布,650,单价69542元/平米
御景东方 花园端头位 三面采光 正南北向 带露台看海景,京基御景东方 , | 4室2厅 | 185.39平米 | 东南 | 精装,中楼层(共18层)2006年建塔楼  -  ,红树湾,24人关注 / 一年前发布,1980,单价106802元/平米
润府二期两房2卫，开发商统一装修，满两年，业主急售,华润城润府二期 , | 2室2厅 | 88.78平米 | 东南 | 精装,低楼层(共36层)2017年建板塔结合  -  ,科技园,27人关注 / 4个月以前发布,1100,单价123902元/平米
精装两房，看平安大厦，户型方正实用,皇庭世纪 , | 2室2厅 | 58.84平米 | 西北 | 精装,中楼层(共31层)2004年建板塔结合  -  ,石厦,36人关注 / 5个月以前发布,455,单价77329元/平米
桃苑公寓 一房一厅 低总价 精装修,桃苑公寓 , | 1室1厅 | 36平米 | 东南 | 简装,中楼层(共16层)1993年建板塔结合  -  ,南头,55人关注 / 10个月以前发布,177,单价49167元/平米
佳兆业城市广场一期 四房一厅两卫,佳兆业城市广场一期 , | 4室1厅 | 122.57平米 | 东南 南 | 精装,中楼层(共49层)2013年建板塔结合  -  ,坂田,4人关注 / 30天以前发布,700,单价57111元/平米
颐安都会中央二期 3室2厅 418万,颐安都会中央二期 , | 3室2厅 | 87.84平米 | 东南 | 毛坯,低楼层(共31层)2016年建塔楼  -  ,大运新城,51人关注 / 2个月以前发布,418,单价47587元/平米
香山里户型通透 看高尔夫、海景 精装5房 随时可看,香山里 , | 5室2厅 | 173.6平米 | 东南 | 精装,高楼层(共32层)2010年建板塔结合  -  ,华侨城,117人关注 / 一年前发布,1398,单价80530元/平米
天安高尔夫花园一期安静舒适，好租好售,天安高尔夫花园 , | 3室2厅 | 123.34平米 | 东南 | 简装,低楼层(共19层)1995年建塔楼  -  ,车公庙,74人关注 / 2个月以前发布,580,单价47025元/平米
缤纷年华。满五年唯一，红本，可随时报名,缤纷年华 , | 4室1厅 | 93.15平米 | 南 | 精装,低楼层(共28层)2006年建塔楼  -  ,南头,9人关注 / 1个月以前发布,996,单价106925元/平米
满五红本，税费低，简单装修，朝南采光好,国展苑 , | 2室2厅 | 75.47平米 | 西南 | 简装,中楼层(共32层)2003年建塔楼  -  ,布吉关,16人关注 / 27天以前发布,260,单价34451元/平米
花园大社区，福田CBD大三房，业主诚心出售,皇庭世纪 , | 3室2厅 | 91.52平米 | 西南 | 简装,高楼层(共31层)2004年建板塔结合  -  ,石厦,16人关注 / 18天以前发布,710,单价77579元/平米
海岸明珠 正规两房 满五红本 业主急售,海岸明珠园 , | 2室1厅 | 76.31平米 | 北 | 精装,中楼层(共11层)2003年建塔楼  -  ,南山中心,12人关注 / 4个月以前发布,668,单价87538元/平米
嘉葆润复式3房，70年产权带燃气，中楼层采光好,嘉葆润金座 , | 3室1厅 | 41.18平米 | 南 | 简装,中楼层(共20层)2013年建板塔结合  -  ,新洲,91人关注 / 4个月以前发布,360,单价87422元/平米
创世纪滨海花园   大社区  跃式  大阳台  实用,创世纪滨海花园 , | 4室2厅 | 165.83平米 | 东南 南 | 精装,中楼层(共18层)2002年建板塔结合  -  ,科技园,45人关注 / 11个月以前发布,1080,单价65127元/平米
（必看好房）  欢乐谷必看复式5房 业主急卖 有钥匙,美加广场 , | 5室3厅 | 248.92平米 | 南 | 精装,低楼层(共15层)1999年建板塔结合  -  ,华侨城,17人关注 / 3个月以前发布,1250,单价50217元/平米
大芬地铁站 满五红本 东南向三房 业主诚心出售,桂芳园六期 , | 3室2厅 | 90.6平米 | 东南 | 简装,低楼层(共18层)2004年建板塔结合  -  ,布吉大芬,17人关注 / 10个月以前发布,365,单价40287元/平米
龙珠花园 正规两房 繁华地段 交通便利 首付费用少,龙珠花园 , | 2室1厅 | 59平米 | 东 | 简装,低楼层(共30层)1996年建板塔结合  -  ,布吉关,127人关注 / 5个月以前发布,205,单价34746元/平米
东门168优质单间，螺LING小户型，总价低，诚心卖,东门168 , | 1室0厅 | 23.03平米 | 东 | 简装,中楼层(共29层)2005年建塔楼  -  ,螺岭,17人关注 / 4个月以前发布,167,单价72515元/平米
宝体旁 温馨精装 可1房改2房 双地铁口 总价低 视野好,卡罗社区 , | 1室1厅 | 51.83平米 | 西南 | 精装,高楼层(共16层)2007年建板塔结合  -  ,翻身,70人关注 / 3个月以前发布,356,单价68687元/平米
康达尔花园三期 满5年红本在手 唯一物业 花园中间,康达尔花园三期 , | 2室1厅 | 66.76平米 | 西南 | 简装,中楼层(共10层)2002年建塔楼  -  ,布吉大芬,21人关注 / 1个月以前发布,262,单价39246元/平米
锦绣江南复式四房，二楼不算面积，居家舒适，诚心出售,锦绣江南二期 , | 3室2厅 | 72.94平米 | 南 | 精装,高楼层(共6层)2004年建板楼  -  ,龙华新区,95人关注 / 7个月以前发布,370,单价50727元/平米
围合小区 近地铁水库 配套齐全 交通方便,梅林一村十三区 , | 3室1厅 | 89.57平米 | 东南 | 简装,中楼层(共18层)2003年建板塔结合  -  ,梅林,8人关注 / 2个月以前发布,645,单价72011元/平米
前排南向，高层，客厅，阳台，房间都是南向,益田村 , | 3室1厅 | 88.15平米 | 南 | 精装,高楼层(共28层)2002年建板塔结合  -  ,石厦,54人关注 / 9个月以前发布,660,单价74873元/平米
满五唯一 户型方正 双阳台 安静 保养好 旧改,金达花园 , | 3室2厅 | 84.82平米 | 南 | 简装,高楼层(共6层)2006年建板塔结合  -  ,福永,44人关注 / 6个月以前发布,386,单价45509元/平米
此房满两年，业主诚心卖，装修保养好，安静不吵,万科公园里三期 , | 3室2厅 | 87平米 | 东南 | 精装,中楼层(共31层)2016年建板塔结合  -  ,布吉南岭,41人关注 / 6个月以前发布,395,单价45403元/平米
龙岗宝荷沃尔玛精装3房高层朝南观山景看花园安静宜居,振业天峦 , | 3室1厅 | 87.6平米 | 东南 南 | 精装,高楼层(共30层)2014年建板塔结合  -  ,龙岗宝荷,11人关注 / 4个月以前发布,329,单价37558元/平米
两年前的精装修，一梯两户，南北通，户型好,福田花园 , | 3室2厅 | 90.75平米 | 南 | 精装,中楼层(共8层)1996年建板塔结合  -  ,石厦,39人关注 / 4个月以前发布,580,单价63912元/平米
一房改两房，南向，全新装修，使用率高,汇泰大厦 , | 1室1厅 | 39.87平米 | 南 | 精装,低楼层(共33层)2008年建板塔结合  -  ,罗湖口岸,28人关注 / 3个月以前发布,228,单价57186元/平米
岗厦皇洲花园小区大三房朝南，业主诚心卖,皇洲花园 , | 3室2厅 | 94.45平米 | 西南 | 精装,低楼层(共21层)1993年建板塔结合  -  ,福田中心,32人关注 / 2个月以前发布,485,单价51350元/平米
西南朝向 看花园 安静  业主新装修过,新天地名居 , | 1室1厅 | 39.27平米 | 西南 | 精装,低楼层(共31层)2005年建板塔结合  -  ,黄贝岭,77人关注 / 2个月以前发布,205,单价52203元/平米
金地鹭湖红本房，中间楼层，税少，入者宁静出则繁华,金地鹭湖1号 , | 3室2厅 | 87.62平米 | 西南 | 毛坯,中楼层(共16层)2016年建塔楼  -  ,观澜,119人关注 / 2个月以前发布,363,单价41429元/平米
布吉大芬 桂芳园六期 东南朝向大三房 高层无遮挡,桂芳园六期 , | 3室2厅 | 95.74平米 | 东南 | 简装,高楼层(共18层)2004年建板塔结合  -  ,布吉大芬,5人关注 / 2个月以前发布,410,单价42825元/平米
螺岭 金城华庭 朝南 三房 红本在手 诚心出售！！！,金城华庭 , | 3室2厅 | 89.86平米 | 南 | 简装,低楼层(共24层)2003年建塔楼  -  ,螺岭,26人关注 / 1个月以前发布,680,单价75674元/平米
滨海之窗 2室2厅 1080万,滨海之窗 , | 2室2厅 | 85.16平米 | 西南 | 简装,中楼层(共33层)2004年建塔楼  -  ,后海,14人关注 / 12天以前发布,1080,单价126821元/平米
雅仕荔唯一在售三房，满五唯一，无个税,雅仕荔景苑 , | 3室1厅 | 87.43平米 | 南 | 精装,中楼层(共31层)2003年建板塔结合  -  ,后海,16人关注 / 11天以前发布,660,单价75489元/平米
正规四房，高层看海景，精装修，看房方便，近地铁,澳城花园二期 , | 4室2厅 | 89.71平米 | 东南 | 精装,高楼层(共32层)2013年建塔楼  -  ,蛇口,73人关注 / 一年前发布,1450,单价161632元/平米
此房精装修，地铁口，可以优化两房，花园社区,星桂园 , | 1室1厅 | 37.45平米 | 西北 | 精装,中楼层(共20层)2004年建板塔结合  -  ,地王,107人关注 / 5个月以前发布,235,单价62751元/平米
满5，朝南，正4房，带25入户花园，小区中间，安静,世纪村二期 , | 4室2厅 | 153.3平米 | 南 | 精装,低楼层(共18层)2002年建塔楼  -  ,红树湾,12人关注 / 2个月以前发布,1300,单价84802元/平米
大运 荷坳地铁口 满两年西南向 适合刚需自住，诚心卖,森雅谷润筑园 , | 1室1厅 | 49.53平米 | 西南 | 精装,中楼层(共16层)2010年建塔楼  -  ,大运新城,95人关注 / 7个月以前发布,180,单价36342元/平米
峰景台大厦业主诚心出售.楼下即地铁口.片区低单价,峰景台大厦 , | 2室2厅 | 80.56平米 | 东南 | 简装,中楼层(共28层)1994年建板塔结合  -  ,黄贝岭,38人关注 / 1个月以前发布,370,单价45929元/平米
星河世纪双地铁口物业，两房一厅业主诚售,星河世纪 , | 2室1厅 | 64平米 | 东南 | 简装,中楼层(共32层)2006年建板塔结合  -  ,福田中心,48人关注 / 2个月以前发布,485,单价75782元/平米
金鼎大厦 一房一厅 税费少 适合刚需,金鼎大厦 , | 1室1厅 | 42.56平米 | 南 | 简装,中楼层(共28层)2003年建板塔结合  -  ,春风路,21人关注 / 一年前发布,210,单价49343元/平米
此房红本在手，南北朝向，看房方便。,长城二花园 , | 3室1厅 | 112.4平米 | 南 | 简装,低楼层(共18层)1993年建板楼  -  ,百花,8人关注 / 3个月以前发布,980,单价87189元/平米
双地铁口物业 带阳台，采光通风好,荔馨村南山区 , | 1室1厅 | 40.89平米 | 北 | 精装,中楼层(共7层)1991年建板塔结合  -  ,南头,24人关注 / 1个月以前发布,246,单价60162元/平米
下水径阳光花园5期电梯房温馨三房 满五唯一,阳光花园 , | 3室1厅 | 91.61平米 | 南 | 简装,中楼层(共32层)2008年建板塔结合  -  ,布吉街,113人关注 / 5个月以前发布,339,单价37005元/平米
（总监推荐）宜居小区 自住装修 红本精装两房,雍翠华府 , | 2室2厅 | 61.23平米 | 南 | 精装,高楼层(共32层)2004年建板塔结合  -  ,布心,53人关注 / 1个月以前发布,330,单价53896元/平米
兴业大厦 2室1厅 200万,兴业大厦 , | 2室1厅 | 52.6平米 | 西南 | 简装,中楼层(共19层)1984年建塔楼  -  ,春风路,12人关注 / 6天以前发布,200,单价38023元/平米
小区少有户型，带6米阁楼，东南向高层，视野好,新锦安雅园三期 , | 4室1厅 | 123.36平米 | 东南 | 精装,高楼层(共17层)2005年建板塔结合  -  ,翻身,16人关注 / 23天以前发布,800,单价64851元/平米
塘朗山脚下中爱花园高层南向精装两房,中爱花园 , | 2室1厅 | 61.07平米 | 南 | 精装,高楼层(共15层)2004年建板楼  -  ,西丽,49人关注 / 22天以前发布,445,单价72868元/平米
小区10年次新房，红本税费少，高楼层看海景,金地名轩 , | 2室1厅 | 68.13平米 | 南 西南 | 简装,中楼层(共33层)2010年建板塔结合  -  ,沙尾,21人关注 / 17天以前发布,495,单价72656元/平米
满五年，楼层好，适合一大家人生活居住,新港鸿花园 , | 3室1厅 | 124.95平米 | 南 | 精装,低楼层(共9层)1999年建板塔结合  -  ,百仕达,2人关注 / 8个月以前发布,710,单价56823元/平米
深圳湾区大园林，业主自住，现出国发展诚意卖房！,世纪村一期 , | 3室1厅 | 156.03平米 | 东南 西南 东北 | 精装,中楼层(共17层)2001年建塔楼  -  ,红树湾,5人关注 / 25天以前发布,1280,单价82036元/平米
